“„«‰ ‘—Ê⁄ «⁄ »«—SVT	ÿÊ· »«“Â «⁄ »«—DVT	“„«‰ ‘—Ê⁄  —«ò‰‘STT	ÿÊ· »«“Â  —«ò‰‘DVT	„?“«‰ «Â„?  œ«œÂIMP	DVT*DTT	”ÿÕ ”—Ê— „”∆Ê· œ«œÂ
900	100	950	200	100	20000	1
800	150	900	120	80	18000	1
700	300	600	400	70	120000	1
900	110	500	300	90	33000	1
800	310	550	270	90	83700	1
760	280	670	560	80	156800	1
930	190	890	450	76	85500	1
910	180	910	340	98	61200	1
2	100	30	100	8	10000	0
50	54	7	90	2	4860	0
40	70	10	40	1	2800	0
10	45	1	50	2	2250	0
20	33	15	30	4	990	0
30	19	2	20	3	380	0
55	10	9	150	2	1500	0
400	120	110	120	45	14400	3
410	170	120	110	51	18700	3
420	140	130	190	60	26600	3
430	190	140	150	33	28500	3
440	200	150	130	57	26000	3
450	220	100	120	43	26400	3
460	210	110	110	49	23100	3
470	250	120	100	52	25000	3
800	120	510	120	15	14400	4
810	170	520	110	21	18700	4
820	140	530	190	20	26600	4
830	190	540	150	23	28500	4
840	200	550	130	17	26000	4
850	220	500	120	23	26400	4
860	210	510	110	19	23100	4
870	250	520	100	12	25000	4
400	520	350	420	50	218400	2
410	530	300	450	42	238500	2
390	550	350	420	55	231000	2
430	570	400	420	61	239400	2
400	590	300	419	51	247210	2
370	550	350	416	42	228800	2
390	540	330	410	59	221400	2
410	130	340	120	48	15600	2
2	100	100	460	0	46000	0
